Ion	Align	Lambda	ID	Obs_FOS	Sigma_FOS	Obs_VLT	Sigma_VLT	?	ModelA	ModelB
C__3	auto	1907	X	75.2	5.8	NaN	NaN	0	7.53696	3.64585
C__3	auto	1910	X	NaN	NaN	NaN	NaN	0	92.7167	62.2532
TOTL	auto	2326		47.6	4.3	NaN	NaN			
O_II	auto	2470		34.9	2.5	NaN	NaN			
O_II	auto	3726	X	NaN	NaN	9.46	NaN	0	1.58382	2.70806
O_II	auto	3729	X	NaN	NaN	NaN	NaN	0	0.6034	1.03075
NE_3	auto	3869	Ne3	45.3	0.9	45	1.2	1	24.1022	28.8882
S_II	auto	4070	S2	NaN	NaN	2.2	0.1	1	3.18079	1.66847
S_II	auto	4078	S2	NaN	NaN	NaN	NaN	1	0.76671	0.400496
C__2	auto	4267	C2	NaN	NaN	0.223	0.01	1	0.26615	0.597184
TOTL	auto	4363	O3	NaN	NaN	NaN	NaN	1	8.204	5.79591
HE_1	auto	4471	He1	4.47	0.3	4.22	0.1	1	4.90349	5.1856
FE_3	auto	4608	X	NaN	NaN	NaN	NaN	0	0.15154	0.00328691
O__2	auto	4651	X	NaN	NaN	0.049	0.007	0	0	0.00E+00
FE_3	auto	4659	Fe3	NaN	NaN	0.049	0.008	1	1.61146	0.0350868
FE_3	auto	4702	Fe3	NaN	NaN	NaN	NaN	1	0.88392	0.0191715
Ar_4	auto	4711		NaN	NaN	NaN	NaN			
FE_3	auto	4734	Fe3	NaN	NaN	NaN	NaN	1	0.39082	0.00841941
Ar_4	autp	4740		NaN	NaN	0.262	0.006			
FE_3	auto	4755	Fe3	NaN	NaN	NaN	NaN	1	0.29469	0.00641639
H__1	auto	4861	H1	100	NaN	100	NaN	1	100	100
FE_3	auto	4881	X	NaN	NaN	NaN	NaN	0	0.13531	0.00288648
O__3	auto	4959	O3	133	1	119	0.4	1	130.735	160.224
FE_3	auto	4988	X	NaN	NaN	NaN	NaN	0	0.023232	0.000495621
O__3	auto	5007	O3	NaN	NaN	NaN	NaN	1	393.52	482.261
Ar_3	auto	5192		NaN	NaN	0.151	0.004			
TOTR	auto	5199	X	NaN	NaN	NaN	NaN	0	0	0.00E+00
FE_3	auto	5271	X	NaN	NaN	NaN	NaN	0	0.96668	0.0216233
N__2	auto	5755	N2	NaN	NaN	NaN	NaN	1	4.13665	2.97553
HE_1	auto	5876	He1	14	0.5	11.8	0.3	1	15.2837	15.9017
O__1	auto	6300	O1	NaN	NaN	1.54	0.05	1	0.79489	1.70473
S__3	auto	6312	S3	1.96	0.25	2.18	0.07	1	6.18669	2.37095
H__1	auto	6563	H1	NaN	NaN	NaN	NaN	1	276.863	278.632
N__2	auto	6584	N2	18.3	0.8	7.94	0.33	1	3.67405	3.16232
HE_1	auto	6678	He1	4.06	0.39	1.94	0.09	1	3.89944	4.14761
S_II	auto	6716	X	NaN	NaN	NaN	NaN	0	0.029828	0.0169372
S_II	auto	6731	S2	0.512	0.193	0.256	0.011	1	0.068267	0.0387198
AR_3	auto	7135	Ar3	24.1	1.5	NaN	NaN	1	24.7377	21.3159
O_II	auto	7320		NaN	NaN	NaN	NaN			
O_II	auto	7330		NaN	NaN	NaN	NaN			
NE_2	auto	1281m	X	NaN	NaN	NaN	NaN	0	7.03789	22.4366
NE_3	auto	1555m	X	NaN	NaN	NaN	NaN	0	12.5834	34.2403
O_II	auto	7320+30		46.6	2.5	NaN	NaN			
O__3	auto	4959/4363		17.4	0.9	16.4	0.2			
O__1	auto	6300/5577		NaN	NaN	23.3	1.4			
N__2	auto	6584/5755		4.22	0.21	2.78	0.02			
S_II	auto	6731/6716		NaN	NaN	2.64	0.01			
O_II	auto	3726/3729		NaN	NaN	2.5	NaN			
Ar_4	auto	4740/4711		NaN	NaN	2.3	0.02			
