Orion 12.1

Datacube size: (NU, NY, NX) = (50, 40, 40)
NI = 1549, NJ = 1001
Ems.shape = (45, 1001, 1549)
NK, inc_degrees, xmin, ymin, umin, dx, dy, du
         400   30.0000000      -1.00000000      -2.00000000      -50.0000000      0.100000001      0.100000001       2.00000000    
 sum(Ems) =    372531.938    
 sum(cubes) =    9.07975443E-15
Summing datacubes to find total fluxes....
.... finished
H beta line flux: 
Line fluxes relative to H beta = 100:
|C__3  |1907A|10.5845|
|C__3  |1910A|12.5497|
|TOTL  |2326A|43.9869|
|O_II  |2471A|27.3353|
|O_II  |3726A|60.3782|
|O_II  |3729A|25.0999|
|Ne_3  |3869A|4.28249|
|S_II  |4070A|15.6854|
|S_II  |4078A|5.08454|
|C__2  |4267A|0.184411|
|TOTL  |4363A|0.744003|
|He_1  |4471A|4.52219|
|Fe_3  |4608A|0.161183|
|O_2r  |4651A|0.142906|
|Fe_3  |4659A|2.09528|
|Fe_3  |4702A|0.940144|
|Ar_4  |4711A|0.018007|
|Fe_3  |4734A|0.446845|
|Ar_4  |4740A|0.0230739|
|Fe_3  |4755A|0.383168|
|H__1  |4861A|100|
|Fe_3  |4881A|1.06664|
|O__3  |4959A|60.1291|
|Fe_3  |4988A|0.183145|
|O__3  |5007A|180.989|
|Ar_3  |5192A|0.119356|
|TOTL  |5199A|0.154318|
|Fe_3  |5271A|1.28956|
|Cl_3  |5518A|0.148072|
|Cl_3  |5538A|0.316083|
|O__1  |5577A|0.144625|
|N__2  |5755A|3.86021|
|He_1  |5876A|13.8786|
|O__1  |6300A|8.94765|
|S__3  |6312A|2.33545|
|H__1  |6563A|286.305|
|N__2  |6584A|107.095|
|He_1  |6678A|3.7616|
|S_II  |6716A|3.19377|
|S_II  |6731A|7.04046|
|Ar_3  |7135A|21.3884|
|O_II  |7323A|19.2797|
|O_II  |7332A|15.6343|
|Ne_2 |1281m|34.9792|
|Ne_3 |1555m|9.19496|

Esteban 12.1

Datacube size: (NU, NY, NX) = (50, 40, 40)
NI = 1540, NJ = 1001
Ems.shape = (45, 1001, 1540)
NK, inc_degrees, xmin, ymin, umin, dx, dy, du
         400   30.0000000      -1.00000000      -2.00000000      -50.0000000      0.100000001      0.100000001       2.00000000    
 sum(Ems) =    305042.375    
 sum(cubes) =    8.89986835E-15
Summing datacubes to find total fluxes....
.... finished
H beta line flux: 
Line fluxes relative to H beta = 100:
|C  3  |1907A|5.72544|
|C  3  |1910A|7.07606|
|TOTL  |2326A|31.3706|
|O II  |2471A|24.3619|
|O II  |3726A|55.6252|
|O II  |3729A|22.999|
|Ne 3  |3869A|5.7688|
|S II  |4070A|23.2503|
|S II  |4078A|7.53995|
|C  2  |4267A|0.163703|
|TOTL  |4363A|0.517737|
|He 1  |4471A|4.61218|
|Fe 3  |4608A|0.0450331|
|O 2r  |4651A|0.162122|
|Fe 3  |4659A|0.584844|
|Fe 3  |4702A|0.262663|
|Ar 4  |4711A|0.0170282|
|Fe 3  |4734A|0.125011|
|Ar 4  |4740A|0.0226491|
|Fe 3  |4755A|0.106951|
|H  1  |4861A|100|
|Fe 3  |4881A|0.300916|
|O  3  |4959A|52.6719|
|Fe 3  |4988A|0.0516674|
|O  3  |5007A|158.541|
|Ar 3  |5192A|0.126516|
|TOTL  |5199A|0.0974917|
|Fe 3  |5271A|0.364358|
|Cl 3  |5518A|0.353845|
|Cl 3  |5538A|0.769526|
|O  1  |5577A|0.14483|
|N  2  |5755A|2.47274|
|He 1  |5876A|14.1225|
|O  1  |6300A|9.17229|
|S  3  |6312A|3.10859|
|H  1  |6563A|287.306|
|N  2  |6584A|73.9854|
|He 1  |6678A|3.85082|
|S II  |6716A|4.82037|
|S II  |6731A|10.6562|
|Ar 3  |7135A|25.9649|
|O II  |7323A|17.1827|
|O II  |7332A|13.9343|
|Ne 2 |1281m|63.5938|
|Ne 3 |1555m|16.3089|

Tsamis LV2 12.1

Datacube size: (NU, NY, NX) = (50, 40, 40)
NI = 1536, NJ = 1001
Ems.shape = (45, 1001, 1536)
NK, inc_degrees, xmin, ymin, umin, dx, dy, du
         400   30.0000000      -1.00000000      -2.00000000      -50.0000000      0.100000001      0.100000001       2.00000000    
 sum(Ems) =    294046.344    
 sum(cubes) =    1.08577748E-14
Summing datacubes to find total fluxes....
.... finished
H beta line flux: 
Line fluxes relative to H beta = 100:
|C  3  |1907A|6.83803|
|C  3  |1910A|8.7173|
|TOTL  |2326A|54.1359|
|O II  |2471A|36.1792|
|O II  |3726A|90.1442|
|O II  |3729A|37.0625|
|Ne 3  |3869A|5.57968|
|S II  |4070A|7.81564|
|S II  |4078A|2.53485|
